,名字,Gender,易數
980,Mega,F,3
981,Megam,F,3
982,Meggi,F,3
983,Meggie,F,3
984,Megh,M,3
985,Megha,F,3
986,Megham,F,3
987,Meha,F,3
988,Mehak,F,3
989,Mehdi,M,3
990,Mehek,F,3
991,Mei,F,3
992,Meia,F,3
993,Meiah,F,3
994,Meka,F,3
995,Mekah,F,3
996,Mekai,M,3
997,Mekea,F,3
998,Mekeba,F,3
999,Mekeia,F,3
1000,Mekhai,M,3
1001,Mekhi,M,3
1002,Mekhia,F,3
1003,Mekhiah,F,3
1004,Meki,M,3
1005,Mekia,F,3
1006,Mekiah,F,3
1007,Mekih,M,3
1008,Mekka,F,3
1009,Mekkah,F,3
1010,Mekkhi,M,3
1011,Mekko,M,3
1012,Meko,F,3
1013,Meme,F,3
1014,Meta,F,3
1015,Mete,M,3
1016,Metha,F,3
1017,Meti,F,3
1018,Metta,F,3
1019,Mette,F,3
1020,Mettie,F,3
1021,Mey,F,3
1022,Meya,F,3
1023,Meyah,F,3
1024,Mhia,F,3
1025,Mi,F,3
1026,Mia,F,3
1027,Miaa,F,3
1028,Miah,F,3
1029,Miaha,F,3
1030,Miaja,F,3
1031,Miajah,F,3
1032,Miakka,F,3
1033,Miakoda,F,3
1034,Miami,F,3
1035,Mic,M,3
1036,Mica,F,3
1037,Micah,M,3
1038,Micahi,M,3
1039,Micahia,F,3
1040,Micai,M,3
1041,Micaiah,M,3
1042,Micaih,M,3
1043,Micajah,M,3
1044,Micca,F,3
1045,Miccah,M,3
1046,Micco,M,3
1047,Mich,M,3
1048,Micha,M,3
1049,Michae,M,3
1050,Michaee,M,3
1051,Michah,M,3
1052,Michai,M,3
1053,Michaia,F,3
1054,Michaiah,F,3
1055,Miche,F,3
1056,Michea,F,3
1057,Michi,F,3
1058,Michia,F,3
1059,Michiah,F,3
1060,Michie,F,3
1061,Micia,F,3
1062,Miciah,F,3
1063,Mick,M,3
1064,Mickey,M,3
1065,Micki,F,3
1066,Mickia,F,3
1067,Mickie,F,3
1068,Mico,M,3
1069,Mida,F,3
1070,Midajah,F,3
1071,Middie,F,3
1072,Midge,F,3
1073,Midgie,F,3
1074,Mie,F,3
1075,Mieka,F,3
1076,Mieke,F,3
1077,Mieko,F,3
1078,Miette,F,3
1079,Mieya,F,3
1080,Miggie,F,3
1081,Miha,F,3
1082,Mihai,M,3
1083,Miia,F,3
1084,Mj,M,3
1085,Mkai,M,3
1086,Mo,M,3
1087,Moad,M,3
1088,Mocha,F,3
1089,Mode,M,3
1090,Modie,M,3
1091,Moe,M,3
1092,Moeko,F,3
1093,Moet,F,3
1094,Moffett,M,3
1095,Mohab,M,3
1096,Mohamad,M,3
1097,Mohamed,M,3
1098,Mohammad,M,3
1099,Mohammed,M,3
1100,Mohd,M,3
1101,Mohib,M,3
1102,Mohid,M,3
1103,Mojtaba,M,3
1104,Momie,F,3
1105,Momo,F,3
1106,Momoe,F,3
1107,Momoka,F,3
1108,Momoko,F,3
1109,Moo,M,3
1110,Na,F,4
1111,Naa,F,4
1112,Naadia,F,4
1113,Naajia,F,4
1114,Naana,F,4
1115,Naba,F,4
1116,Nabeeha,F,4
1117,Nabhan,M,4
1118,Nabhya,M,4
1119,Nabi,M,4
1120,Nabia,F,4
1121,Nabiha,F,4
1122,Nabihah,F,4
1123,Nace,M,4
1124,Nache,F,4
1125,Nada,F,4
1126,Nadaja,F,4
1127,Nadea,F,4
1128,Nadean,F,4
1129,Nadeane,F,4
1130,Nadeen,F,4
1131,Nadeene,F,4
1132,Nadege,F,4
1133,Nadeige,F,4
1134,Nadeja,F,4
1135,Naden,M,4
1136,Nadene,F,4
1137,Nadeya,F,4
1138,Nadia,F,4
1139,Nadiah,F,4
1140,Nadie,F,4
1141,Nadja,F,4
1142,Nadjah,F,4
1143,Naethan,M,4
1144,Naevia,F,4
1145,Nafee,M,4
1146,Nafi,M,4
1147,Nafia,F,4
1148,Nagee,M,4
1149,Nagi,M,4
1150,Nahdia,F,4
1151,Naheed,F,4
1152,Nahia,F,4
1153,Nahid,F,4
1154,Nahida,F,4
1155,Nahide,F,4
1156,Nahtanha,F,4
1157,Nahya,F,4
1158,Nahyan,M,4
1159,Nai,F,4
1160,Naia,F,4
1161,Naiah,F,4
1162,Naiana,F,4
1163,Naibe,F,4
1164,Naida,F,4
1165,Naiden,M,4
1166,Naif,M,4
1167,Naja,F,4
1168,Najaah,F,4
1169,Najada,F,4
1170,Najae,F,4
1171,Najah,F,4
1172,Najai,F,4
1173,Naje,F,4
1174,Najea,F,4
1175,Najee,M,4
1176,Najeeb,M,4
1177,Najeebah,F,4
1178,Najeh,M,4
1179,Najha,F,4
1180,Naji,M,4
1181,Najia,F,4
1182,Najiah,F,4
1183,Najib,M,4
1184,Najih,M,4
1185,Najja,M,4
1186,Najji,M,4
1187,Najon,M,4
1188,Najya,F,4
1189,Nakai,M,4
1190,Nakaia,F,4
1191,Nakaiah,F,4
1192,Nakea,F,4
1193,Nakeba,F,4
1194,Nakecia,F,4
1195,Nakeda,F,4
1196,Nakee,F,4
1197,Nakeea,F,4
1198,Nakeena,F,4
1199,Nakeeta,F,4
1200,Nakeia,F,4
1201,Naketa,F,4
1202,Naketta,F,4
1203,Nakevia,F,4
1204,Nakeya,F,4
1205,Nakeyah,F,4
1206,Nakeyia,F,4
1207,Nakeyta,F,4
1208,Nakhi,M,4
1209,Nakhia,F,4
1210,Nakhya,F,4
1211,Naki,M,4
1212,Nakia,F,4
1213,Nakiah,F,4
1214,Nakida,F,4
1215,Nakie,F,4
1216,Nakiea,F,4
1217,Nakieta,F,4
1218,Nakieya,F,4
1219,Nakkia,F,4
1220,Nakoa,M,4
1221,Nakoda,M,4
1222,Nan,F,4
1223,Nana,F,4
1224,Nanako,F,4
1225,Nance,F,4
1226,Nancee,F,4
1227,Nancey,F,4
1228,Nanci,F,4
1229,Nanciann,F,4
1230,Nancianne,F,4
1231,Nancie,F,4
1232,Nand,M,4
1233,Nanda,F,4
1234,Nandan,M,4
1235,Nandana,F,4
1236,Nandhan,M,4
1237,Nandhana,F,4
1238,Nandi,F,4
1239,Nandni,F,4
1240,Nando,M,4
1241,Nanea,F,4
1242,Naneka,F,4
1243,Nanett,F,4
1244,Nanetta,F,4
1245,Nanette,F,4
1246,Nang,M,4
1247,Nani,F,4
1248,Nanie,F,4
1249,Nann,F,4
1250,Nanna,F,4
1251,Nannett,F,4
1252,Nannetta,F,4
1253,Nannette,F,4
1254,Nannie,F,4
1255,Nao,F,4
1256,Naobi,F,4
1257,Naod,M,4
1258,Naoh,M,4
1259,Naoki,M,4
1260,Naoko,F,4
1261,Ndea,F,4
1262,Ndey,F,4
1263,Ndeye,F,4
1264,Ndia,F,4
1265,Ndidi,F,4
1266,Nea,F,4
1267,Neah,F,4
1268,Neajah,F,4
1269,Neako,M,4
1270,Neana,F,4
1271,Necha,F,4
1272,Nechy,F,4
1273,Neci,F,4
1274,Necia,F,4
1275,Necie,F,4
1276,Ned,M,4
1277,Neda,F,4
1278,Nedda,F,4
1279,Neddie,M,4
1280,Nedenia,F,4
1281,Nedia,F,4
1282,Neeah,F,4
1283,Neeka,F,4
1284,Neeko,M,4
1285,Neena,F,4
1286,Neenah,F,4
1287,Neeta,F,4
1288,Neeti,F,4
1289,Neev,M,4
1290,Neeva,F,4
1291,Neeve,F,4
1292,Neeya,F,4
1293,Neeyah,F,4
1294,Neff,M,4
1295,Nefi,M,4
1296,Negan,F,4
1297,Negeen,F,4
1298,Neghan,F,4
1299,Neha,F,4
1300,Nehan,M,4
1301,Neia,F,4
1302,Neiba,F,4
1303,Neicha,F,4
1304,Neida,F,4
1305,Neidi,F,4
1306,Neji,M,4
1307,Neka,F,4
1308,Nekea,F,4
1309,Nekeda,F,4
1310,Nekeia,F,4
1311,Neketa,F,4
1312,Nekeya,F,4
1313,Nekhi,M,4
1314,Nekia,F,4
1315,Nekki,F,4
1316,Nekko,M,4
1317,Neko,M,4
1318,Nekoda,M,4
1319,Nena,F,4
1320,Nenad,M,4
1321,Nenah,F,4
1322,Nene,F,4
1323,Neneh,F,4
1324,Nenette,F,4
1325,Neng,M,4
1326,Nenia,F,4
1327,Neno,M,4
1328,Neo,M,4
1329,Neon,M,4
1330,Neona,F,4
1331,Neta,F,4
1332,Netania,F,4
1333,Netha,F,4
1334,Nethan,M,4
1335,Nethania,F,4
1336,Nethaniah,M,4
1337,Netia,F,4
1338,Netta,F,4
1339,Nette,F,4
1340,Nettie,F,4
1341,Netty,F,4
1342,Nettye,F,4
1343,Nev,F,4
1344,Neva,F,4
1345,Nevaan,M,4
1346,Nevach,F,4
1347,Nevada,F,4
1348,Nevae,F,4
1349,Nevaeh,F,4
1350,Nevaeha,F,4
1351,Nevaehia,F,4
1352,Nevaen,F,4
1353,Nevah,F,4
1354,Nevaha,F,4
1355,Nevaiah,F,4
1356,Nevan,M,4
1357,Neve,F,4
1358,Nevea,F,4
1359,Neveah,F,4
1360,Neveaha,F,4
1361,Neveen,F,4
1362,Neven,M,4
1363,Nevena,F,4
1364,Neveya,F,4
1365,Neveyah,F,4
1366,Nevia,F,4
1367,Neviah,F,4
1368,Ney,M,4
1369,Neya,F,4
1370,Neyah,F,4
1371,Neyba,F,4
1372,Neyda,F,4
1373,Neydi,F,4
1374,Neythan,M,4
1375,Neyva,F,4
1376,Ng,M,4
1377,Nga,F,4
1378,Ngai,M,4
1379,Ngan,F,4
1380,Nghi,F,4
1381,Nghia,M,4
1382,Nha,M,4
1383,Nhan,M,4
1384,Nhi,F,4
1385,Nhia,M,4
1386,Nhya,F,4
1387,Ni,F,4
1388,Nia,F,4
1389,Niah,F,4
1390,Niaja,F,4
1391,Niajah,F,4
1392,Niaje,F,4
1393,Niakia,F,4
1394,Niana,F,4
1395,Niang,F,4
1396,Niani,F,4
1397,Nianna,F,4
1398,Nic,M,4
1399,Nica,F,4
1400,Nicci,F,4
1401,Nicey,F,4
1402,Nicha,F,4
1403,Niche,F,4
1404,Nichet,F,4
1405,Nicia,F,4
1406,Niciah,F,4
1407,Nicie,F,4
1408,Nida,F,4
1409,Nidhi,F,4
1410,Nidia,F,4
1411,Nieja,F,4
1412,Nieka,F,4
1413,Niekia,F,4
1414,Nieko,M,4
1415,Nieta,F,4
1416,Nieva,F,4
1417,Nieve,F,4
1418,Nieya,F,4
1419,Nigee,M,4
1420,Niha,F,4
1421,Nihad,F,4
1422,Nihya,F,4
1423,Nii,M,4
1424,Niia,F,4
1425,Njideka,F,4
1426,Nkao,F,4
1427,Nkechi,F,4
1428,Nkenge,F,4
1429,Nna,F,4
1430,Nnanna,M,4
1431,Nneka,F,4
1432,Nnenna,F,4
1433,No,F,4
1434,Noa,F,4
1435,Noaah,M,4
1436,Noach,M,4
1437,Noah,M,4
1438,Noahh,M,4
1439,Noan,M,4
1440,Nobia,F,4
1441,Nobie,F,4
1442,Noda,F,4
1443,Nodia,F,4
1444,Nodie,F,4
1445,Noe,M,4
1446,Noeh,M,4
1447,Noey,M,4
1448,Noga,F,4
1449,Noha,F,4
1450,Nohe,M,4
1451,Nohea,F,4
1452,Nokia,F,4
1453,Nona,F,4
1454,Nonah,F,4
1455,Nonda,F,4
1456,Nong,M,4
1457,Noni,F,4
1458,Nonia,F,4
1459,Nonie,F,4
1460,Nonna,F,4
1461,Nonnie,F,4
1462,Nooh,M,4
1463,Noon,F,4
1464,Sa,M,1
1465,Saachi,F,1
1466,Saad,M,1
1467,Saada,F,1
1468,Saadia,F,1
1469,Saahas,M,1
1470,Saaid,M,1
1471,Saajid,M,1
1472,Saajida,F,1
1473,Saaketh,M,1
1474,Saakshi,F,1
1475,Saasha,F,1
1476,Saba,F,1
1477,Sabah,F,1
1478,Sabas,M,1
1479,Sabe,M,1
1480,Sabeeh,M,1
1481,Sabha,F,1
1482,Sabia,F,1
1483,Sabih,M,1
1484,Sabiha,F,1
1485,Saby,F,1
1486,Sacha,F,1
1487,Sache,F,1
1488,Sachet,F,1
1489,Sachi,F,1
1490,Sachie,F,1
1491,Sachika,F,1
1492,Sachiko,F,1
1493,Sacia,F,1
1494,Sada,F,1
1495,Sadae,F,1
1496,Sadaf,F,1
1497,Sadako,F,1
1498,Sadao,M,1
1499,Saddie,F,1
1500,Sade,F,1
1501,Sadea,F,1
1502,Sadee,F,1
1503,Sadeigh,F,1
1504,Sadeja,F,1
1505,Sadey,F,1
1506,Sadhika,F,1
1507,Sadi,F,1
1508,Sadia,F,1
1509,Sadiah,F,1
1510,Sadie,F,1
1511,Sadiee,F,1
1512,Sadiga,F,1
1513,Sadik,M,1
1514,Sadika,F,1
1515,Sadiki,M,1
1516,Sadio,F,1
1517,Sae,F,1
1518,Saed,M,1
1519,Saedee,F,1
1520,Saedi,F,1
1521,Saedie,F,1
1522,Saee,F,1
1523,Saeed,M,1
1524,Saeeda,F,1
1525,Saeko,F,1
1526,Saesha,F,1
1527,Safa,F,1
1528,Safaa,F,1
1529,Safah,F,1
1530,Safee,M,1
1531,Safet,M,1
1532,Safeya,F,1
1533,Saffa,F,1
1534,Safi,M,1
1535,Safia,F,1
1536,Safiah,F,1
1537,Saga,F,1
1538,Sage,F,1
1539,Sahai,F,1
1540,Sahaj,M,1
1541,Sahas,M,1
1542,Saheb,M,1
1543,Saheed,M,1
1544,Sahej,M,1
1545,Sahib,M,1
1546,Sahiba,F,1
1547,Sahid,M,1
1548,Sai,M,1
1549,Saia,F,1
1550,Saiah,F,1
1551,Saichi,M,1
1552,Said,M,1
1553,Saida,F,1
1554,Saidah,F,1
1555,Saide,F,1
1556,Saidee,F,1
1557,Saidey,F,1
1558,Saidi,F,1
1559,Saidie,F,1
1560,Saied,M,1
1561,Saif,M,1
1562,Saige,F,1
1563,Saiid,M,1
1564,Saija,F,1
1565,Saije,F,1
1566,Saish,M,1
1567,Saisha,F,1
1568,Saja,F,1
1569,Sajaad,M,1
1570,Sajad,M,1
1571,Sajada,F,1
1572,Sajah,F,1
1573,Sajda,F,1
1574,Sajdah,F,1
1575,Saje,F,1
1576,Sajed,M,1
1577,Sajeda,F,1
1578,Saji,M,1
1579,Sajid,M,1
1580,Sajidah,F,1
1581,Sajjad,M,1
1582,Sakae,M,1
1583,Sakai,M,1
1584,Sakeef,M,1
1585,Saket,M,1
1586,Saketh,M,1
1587,Saketha,F,1
1588,Sakeya,F,1
1589,Sakhi,M,1
1590,Sakhia,F,1
1591,Saki,F,1
1592,Sakia,F,1
1593,Sakiah,F,1
1594,Sakib,M,1
1595,Sakiko,F,1
1596,Sakisha,F,1
1597,Sakshi,F,1
1598,Sao,M,1
1599,Sascha,F,1
1600,Sasha,F,1
1601,Sashae,F,1
1602,Sashe,F,1
1603,Sashi,F,1
1604,Sashia,F,1
1605,Sasia,F,1
1606,Saskia,F,1
1607,Schad,M,1
1608,Schae,F,1
1609,Se,F,1
1610,Sea,M,1
1611,Seab,M,1
1612,Seba,F,1
1613,Sebie,M,1
1614,Secia,F,1
1615,Seda,F,1
1616,Sedgie,M,1
1617,See,F,1
1618,Seeta,F,1
1619,Seeya,F,1
1620,Sef,M,1
1621,Segio,M,1
1622,Sehaj,F,1
1623,Sehej,F,1
1624,Sei,M,1
1625,Seichi,M,1
1626,Seid,M,1
1627,Seidi,F,1
1628,Seif,M,1
1629,Seiichi,M,1
1630,Seija,F,1
1631,Seiji,M,1
1632,Seiki,M,1
1633,Seikichi,M,1
1634,Seiko,M,1
1635,Seja,F,1
1636,Seka,F,1
1637,Sekai,M,1
1638,Sekia,F,1
1639,Sesha,F,1
1640,Set,M,1
1641,Seta,F,1
1642,Seth,M,1
1643,Sethe,M,1
1644,Seva,F,1
1645,Sevaeh,F,1
1646,Sevag,M,1
1647,Sevak,M,1
1648,Sevda,F,1
1649,Seve,M,1
1650,Seveah,F,1
1651,Sevi,F,1
1652,Seviah,F,1
1653,Sevy,M,1
1654,Seya,F,1
1655,Seydi,F,1
1656,Seyed,M,1
1657,Seyha,M,1
1658,Sha,F,1
1659,Shaad,M,1
1660,Shaasia,F,1
1661,Shaba,M,1
1662,Shabab,M,1
1663,Shabaka,M,1
1664,Shabd,M,1
1665,Shachi,F,1
1666,Shad,M,1
1667,Shada,F,1
1668,Shadae,F,1
1669,Shadai,F,1
1670,Shadaisha,F,1
1671,Shadaja,F,1
1672,Shadajah,F,1
1673,Shadasha,F,1
1674,Shadasia,F,1
1675,Shadd,M,1
1676,Shaddai,F,1
1677,Shade,F,1
1678,Shadea,F,1
1679,Shadee,F,1
1680,Shadeed,M,1
1681,Shadeja,F,1
1682,Shadejah,F,1
1683,Shadey,F,1
1684,Shadi,M,1
1685,Shadia,F,1
1686,Shadie,F,1
1687,Shadijah,F,1
1688,Shae,F,1
1689,Shafee,M,1
1690,Shafi,M,1
1691,Shaft,M,1
1692,Shah,M,1
1693,Shahab,M,1
1694,Shahad,F,1
1695,Shahada,F,1
1696,Shahadah,F,1
1697,Shahd,F,1
1698,Shahed,F,1
1699,Shaheed,M,1
1700,Shaheeda,F,1
1701,Shaheedah,F,1
1702,Shahid,M,1
1703,Shahida,F,1
1704,Shahidah,F,1
1705,Shahied,M,1
1706,Shai,F,1
1707,Shaia,F,1
1708,Shaiasia,F,1
1709,Shaid,M,1
1710,Shaida,F,1
1711,Shaik,M,1
1712,Shaikh,M,1
1713,Shaikha,F,1
1714,Shaisha,F,1
1715,Shaka,M,1
1716,Shakai,M,1
1717,Shakea,F,1
1718,Shakeah,F,1
1719,Shakeba,F,1
1720,Shaked,M,1
1721,Shakeda,F,1
1722,Shakee,M,1
1723,Shakeeka,F,1
1724,Shakeeta,F,1
1725,Shakeia,F,1
1726,Shakeisha,F,1
1727,Shakesha,F,1
1728,Shakeshia,F,1
1729,Shaketa,F,1
1730,Shaketha,F,1
1731,Shakethia,F,1
1732,Shaketia,F,1
1733,Shaketta,F,1
1734,Shakeva,F,1
1735,Shakevia,F,1
1736,Shakeya,F,1
1737,Shakeyah,F,1
1738,Shakeyda,F,1
1739,Shakeyia,F,1
1740,Shakeyta,F,1
1741,Shakhia,F,1
1742,Shaki,M,1
1743,Shakia,F,1
1744,Shakiah,F,1
1745,Shakib,M,1
1746,Shakida,F,1
1747,Shakiea,F,1
1748,Shakiesha,F,1
1749,Shakieta,F,1
1750,Shakisha,F,1
1751,Shakka,F,1
1752,Shakkia,F,1
1753,Shakobe,M,1
1754,Shao,M,1
1755,Shasa,F,1
1756,Shasha,F,1
1757,Shashi,M,1
1758,Shaska,F,1
1759,She,F,1
1760,Shea,F,1
1761,Sheba,F,1
1762,Sheccid,F,1
1763,Shecid,F,1
1764,Shed,M,1
1765,Sheeba,F,1
1766,Sheeva,F,1
1767,Shehab,M,1
1768,Sheida,F,1
1769,Sheik,M,1
1770,Sheika,F,1
1771,Sheikh,M,1
1772,Sheikha,F,1
1773,Sheka,F,1
1774,Shekeia,F,1
1775,Sheketa,F,1
1776,Sheketha,F,1
1777,Shekevia,F,1
1778,Shekeya,F,1
1779,Shekia,F,1
1780,Sheshe,F,1
1781,Sheteka,F,1
1782,Shetia,F,1
1783,Shetika,F,1
1784,Sheva,F,1
1785,Shevetta,F,1
1786,Shevette,F,1
1787,Shevi,F,1
1788,Shevy,F,1
1789,Shey,M,1
1790,Sheya,M,1
1791,Sheyda,F,1
1792,Sheza,F,1
1793,Shi,F,1
1794,Shia,M,1
1795,Shiah,F,1
1796,Shiasia,F,1
1797,Shida,F,1
1798,Shie,M,1
1799,Shieda,F,1
1800,Shieka,F,1
1801,Shiesha,F,1
1802,Shifa,F,1
1803,Shiffy,F,1
1804,Shig,M,1
1805,Shige,M,1
1806,Shigeki,M,1
1807,Shigeko,F,1
1808,Shigeo,M,1
1809,Shigeto,M,1
1810,Shigetoshi,M,1
1811,Shihab,M,1
1812,Shiketa,F,1
1813,Shikha,F,1
1814,Shikia,F,1
1815,Si,M,1
1816,Sia,F,1
1817,Siah,F,1
1818,Siaka,M,1
1819,Siaki,M,1
1820,Siaosi,M,1
1821,Sias,M,1
1822,Siba,F,1
1823,Sibbie,F,1
1824,Sibi,M,1
1825,Sid,M,1
1826,Sidak,M,1
1827,Sidda,F,1
1828,Siddeegah,F,1
1829,Siddh,M,1
1830,Siddhesh,M,1
1831,Siddhi,F,1
1832,Siddie,F,1
1833,Sidea,F,1
1834,Sidh,M,1
1835,Sidi,M,1
1836,Sidiki,M,1
1837,Sie,M,1
1838,Sieda,F,1
1839,Siedah,F,1
1840,Sifa,F,1
1841,Sig,M,1
1842,Siosaia,M,1
1843,Sisi,F,1
1844,Sissi,F,1
1845,Sissie,F,1
1846,Sj,M,1
1847,Skai,F,1
1848,Skeet,M,1
1849,Ski,F,1
1850,Skie,F,1
1851,Skii,F,1
1852,So,F,1
1853,Sobeida,F,1
1854,Sobia,F,1
1855,Sochi,F,1
1856,Soda,F,1
1857,Soe,M,1
1858,Sofee,F,1
1859,Soffia,F,1
1860,Soffie,F,1
1861,Sofhia,F,1
1862,Sofi,F,1
1863,Sofia,F,1
1864,Sofiah,F,1
1865,Sofie,F,1
1866,Sofija,F,1
1867,Sofya,F,1
1868,Soha,F,1
1869,Sohaib,M,1
1870,Soichi,M,1
1871,Sok,M,1
1872,Sokha,F,1
1873,Soo,F,1
1874,Sook,F,1
1875,Sookie,F,1
1876,Sosaia,M,1
1877,Sosha,F,1
1878,Sosie,F,1
1879,Za,M,1
1880,Zabdi,F,1
1881,Zac,M,1
1882,Zacai,M,1
1883,Zaccai,M,1
1884,Zace,M,1
1885,Zach,M,1
1886,Zachai,M,1
1887,Zachi,M,1
1888,Zada,F,1
1889,Zadah,F,1
1890,Zaddie,F,1
1891,Zade,M,1
1892,Zadee,F,1
1893,Zadi,F,1
1894,Zadia,F,1
1895,Zadie,F,1
1896,Zae,M,1
1897,Zaeda,F,1
1898,Zaeya,F,1
1899,Zahi,M,1
1900,Zahia,F,1
1901,Zahid,M,1
1902,Zahida,F,1
1903,Zahidah,F,1
1904,Zai,M,1
1905,Zaia,F,1
1906,Zaiah,F,1
1907,Zaid,M,1
1908,Zaida,F,1
1909,Zaidah,F,1
1910,Zaide,M,1
1911,Zaidee,F,1
1912,Zaisha,F,1
1913,Zak,M,1
1914,Zakai,M,1
1915,Zake,M,1
1916,Zakee,M,1
1917,Zakeea,F,1
1918,Zakeia,F,1
1919,Zakeya,F,1
1920,Zakeyah,F,1
1921,Zakeyia,F,1
1922,Zakhai,M,1
1923,Zakhi,M,1
1924,Zakhia,F,1
1925,Zaki,M,1
1926,Zakia,F,1
1927,Zakiah,F,1
1928,Zakk,M,1
1929,Zakkai,M,1
1930,Zao,M,1
1931,Zasha,F,1
1932,Zasia,F,1
1933,Ze,M,1
1934,Zea,F,1
1935,Zeah,F,1
1936,Zeak,M,1
1937,Zeasia,F,1
1938,Zeb,M,1
1939,Zeba,F,1
1940,Zebadiah,M,1
1941,Zebbie,M,1
1942,Zebdee,M,1
1943,Zebedee,M,1
1944,Zebediah,M,1
1945,Zebidiah,M,1
1946,Zed,M,1
1947,Zeda,F,1
1948,Zeddie,M,1
1949,Zedek,M,1
1950,Zedekiah,M,1
1951,Zee,M,1
1952,Zeek,M,1
1953,Zeev,M,1
1954,Zeeva,F,1
1955,Zef,M,1
1956,Zeffie,F,1
1957,Zeid,M,1
1958,Zeida,F,1
1959,Zeidi,F,1
1960,Zeik,M,1
1961,Zek,M,1
1962,Zekai,M,1
1963,Zeke,M,1
1964,Zekhi,M,1
1965,Zeki,M,1
1966,Zekia,F,1
1967,Zekiah,M,1
1968,Zeta,F,1
1969,Zeth,M,1
1970,Zetha,F,1
1971,Zetta,F,1
1972,Zettie,F,1
1973,Zev,M,1
1974,Zeva,F,1
1975,Zevaeh,F,1
1976,Zevi,M,1
1977,Zeya,F,1
1978,Zeyad,M,1
1979,Zeyah,F,1
1980,Zeyd,M,1
1981,Zeyda,F,1
1982,Zeza,F,1
1983,Zhaki,M,1
1984,Zhi,M,1
1985,Zhia,F,1
1986,Zi,F,1
1987,Zia,F,1
1988,Ziad,M,1
1989,Ziah,F,1
1990,Ziasia,F,1
1991,Ziba,M,1
1992,Zida,F,1
1993,Ziggie,M,1
1994,Zihao,M,1
1995,Zikee,M,1
1996,Zikeya,F,1
1997,Zikeyah,F,1
1998,Zikia,F,1
1999,Zishe,M,1
2000,Zvi,M,1
2001,Zy,M,1
2002,Zya,F,1
2003,Zyad,M,1
2004,Zyah,F,1
2005,Zyashia,F,1
2006,Zyasia,F,1
2007,Zyda,F,1
2008,Zydia,F,1
2009,Zye,M,1
2010,Zyesha,F,1
2011,Zyia,F,1
2012,Zyiah,F,1
